date,camp_id,temperature_min,temperature_max,temperature_mean,hourly_observations,temperature_std,elevation_first,latitude_first,longitude_first,nwis_id_first
1998-09-05,C-10,35.66,48.96,42.74125,8,5.3609046078330564,1196,59.57564,-133.70982,
1998-09-05,C-17,33.31,43.19,38.385,8,3.979666174083304,1285,58.64721,-134.20635,
1998-09-05,C-18,31.72,40.97,36.28375,8,3.8547927033388274,1705,59.34211,-134.10221,
1998-09-05,C-26,31.72,44.65,39.09,8,5.625917068100352,1435,58.36737,-134.36638,
1998-09-05,C-30,30.91,66.28,46.52625,8,13.241415480550838,674,59.57544893154394,-133.70967902899886,
1998-09-05,C-8,25.93,34.88,30.345000000000002,8,3.652236105652067,2050,58.83497,-134.27643,
1998-09-06,C-10,38.72,43.92,41.525,8,1.5772308464068105,1196,59.57564,-133.70982,
1998-09-06,C-17,37.2,40.97,38.90625,8,1.3837623402469472,1285,58.64721,-134.20635,
1998-09-06,C-18,32.52,37.97,35.55375,8,1.5814996273880582,1705,59.34211,-134.10221,
1998-09-06,C-26,36.43,41.72,38.43125,8,1.7103920811990951,1435,58.36737,-134.36638,
1998-09-06,C-30,45.38,58.04,51.145,8,3.982587098859233,674,59.57544893154394,-133.70967902899886,
1998-09-06,C-8,28.45,34.1,31.1975,8,1.9723644259039534,2050,58.83497,-134.27643,
1998-09-07,C-10,32.52,37.97,35.65,8,1.663739333978905,1196,59.57564,-133.70982,
1998-09-07,C-17,33.31,37.2,35.265,8,1.2472369462135082,1285,58.64721,-134.20635,
1998-09-07,C-18,28.45,32.52,30.69875,8,1.495253800721279,1705,59.34211,-134.10221,
1998-09-07,C-26,34.1,36.43,35.4625,8,0.8039322999215418,1435,58.36737,-134.36638,
1998-09-07,C-30,37.97,52.49,46.9375,8,5.102642872641028,674,59.57544893154394,-133.70967902899886,
1998-09-07,C-8,24.2,29.28,26.9725,8,1.6790452218873846,2050,58.83497,-134.27643,
1998-09-08,C-10,31.72,35.66,33.6975,8,1.5735832630383024,1196,59.57564,-133.70982,
1998-09-08,C-17,31.72,34.1,33.0125,8,0.8401147880753295,1285,58.64721,-134.20635,
