#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,Stopped,End of File
494,06/18/2025 09:55:00,4.12,,,,,,
495,06/18/2025 10:00:00,3.34,,,,,,
496,06/18/2025 10:05:00,3.86,,,,,,
497,06/18/2025 10:10:00,4.72,,,,,,
498,06/18/2025 10:15:00,4.93,,,,,,
499,06/18/2025 10:20:00,4.54,,,,,,
500,06/18/2025 10:25:00,4.07,,,,,,
501,06/18/2025 10:30:00,4.37,,,,,,
502,06/18/2025 10:35:00,4.80,,,,,,
503,06/18/2025 10:40:00,4.80,,,,,,
504,06/18/2025 10:45:00,4.67,,,,,,
505,06/18/2025 10:50:00,4.37,,,,,,
506,06/18/2025 10:55:00,4.20,,,,,,
507,06/18/2025 11:00:00,4.29,,,,,,
508,06/18/2025 11:05:00,5.19,,,,,,
509,06/18/2025 11:10:00,5.23,,,,,,
510,06/18/2025 11:15:00,5.49,,,,,,
511,06/18/2025 11:20:00,5.53,,,,,,
512,06/18/2025 11:25:00,5.36,,,,,,
513,06/18/2025 11:30:00,5.45,,,,,,
514,06/18/2025 11:35:00,5.49,,,,,,
515,06/18/2025 11:40:00,5.36,,,,,,
516,06/18/2025 11:45:00,5.75,,,,,,
517,06/18/2025 11:50:00,6.17,,,,,,
518,06/18/2025 11:55:00,6.05,,,,,,
519,06/18/2025 12:00:00,6.17,,,,,,
520,06/18/2025 12:05:00,6.13,,,,,,
521,06/18/2025 12:10:00,6.39,,,,,,
522,06/18/2025 12:15:00,6.09,,,,,,
523,06/18/2025 12:20:00,5.83,,,,,,
524,06/18/2025 12:25:00,5.79,,,,,,
525,06/18/2025 12:30:00,6.35,,,,,,
526,06/18/2025 12:35:00,5.36,,,,,,
527,06/18/2025 12:40:00,5.96,,,,,,
528,06/18/2025 12:45:00,6.13,,,,,,
529,06/18/2025 12:50:00,6.26,,,,,,
530,06/18/2025 12:55:00,6.09,,,,,,
531,06/18/2025 13:00:00,5.53,,,,,,
532,06/18/2025 13:05:00,6.48,,,,,,
533,06/18/2025 13:10:00,5.96,,,,,,
534,06/18/2025 13:15:00,7.08,,,,,,
535,06/18/2025 13:20:00,7.16,,,,,,
536,06/18/2025 13:25:00,6.65,,,,,,
537,06/18/2025 13:30:00,6.86,,,,,,
538,06/18/2025 13:35:00,6.95,,,,,,
539,06/18/2025 13:40:00,6.52,,,,,,
540,06/18/2025 13:45:00,6.69,,,,,,
541,06/18/2025 13:50:00,6.86,,,,,,
542,06/18/2025 13:55:00,7.08,,,,,,
543,06/18/2025 14:00:00,7.68,,,,,,
544,06/18/2025 14:05:00,7.72,,,,,,
545,06/18/2025 14:10:00,7.20,,,,,,
546,06/18/2025 14:15:00,7.50,,,,,,
547,06/18/2025 14:20:00,7.12,,,,,,
